original_name,french_name,RICname
bagdad,Empire Ottoman (Bagdad),Baghdad
bahama,Bahamas,Bahamas
bahama (iles),Bahamas,Bahamas
bahamas,Bahamas,Bahamas
bahamas (west india islands),Bahamas,Bahamas
bahamas and turk's islands (british west india islands),Bahamas et Turks Islands,Bahamas & Turks and Caicos Is.
bahrein islands,Bahrein,Bahrain
"bailul, assab and masawah",Erythrée (Assab et Bailul et Massawah),Assab & Bailul & Massawah
bali,Bali,Bali
bali and lombok (dutch east indies),Bali et Lombok,Bali & Lombok
"bali, lombock et sumbava",Bali et Lombok et Sumbava,Bali & Lombok & Sumbawa
"bali, lumbock, sumbawa,",Bali et Lombok et Sumbava,Bali & Lombok & Sumbawa
balize,Belize,Belize (British Honduras)
balkan states,Balkans,Balkans
baltimore,Baltimore,Baltimore
baltique,Baltique,Baltic Ports
baltique (ports),Baltique (ports),Baltic Ports
"baltique, allemagne et belgique",Baltique et Allemagne et Belgique,Baltic Ports & Belgium & Germany
bandar khar,Iran (port de Khar),Khar
banka and billiton (dutch east indies),Indes orientales néerlandaises (Banka et Biliton),Bangka Island & Belitung
barbade,Barbade,Barbados
barbade (la),Barbade,Barbados
barbadoes,Barbade,Barbados
barbadoes (british west india islands),Barbade,Barbados
barbadoes (winward islands - west india islands),Barbade,Barbados
barbados,Barbade,Barbados
barbados (british west indies),Barbade,Barbados
barbarian states,Etats Barbaresques,Barbary Coast
barbarie,Etats Barbaresques,Barbary Coast
"barbary states - algeria, etc",Etats Barbaresques,Barbary Coast
"barbary states (algeria, tunis &c.)",Etats Barbaresques,Barbary Coast
"barbary states-algeria, etc.",Etats Barbaresques,Barbary Coast
barcelone,Espagne (Barcelone),Barcelona
bassein,Bassein,Bassein River
basutoland,Basutoland (Lesotho),Lesotho (Basutoland)
batavia,Batavia,Jakarta (Batavia)
"batavia, java, and sumatra",Batavia et Java et Sumatra,Jakarta (Batavia) & Java & Sumatra
bathurst,Gambie (Bathurst),Bathurst
bathurst et gambie,Gambie (Bathurst),Bathurst
bavière,Bavière,Bavaria
bechuanaland,Bechuanaland (Botswana),Botswana (Bechuanaland)
bechuanaland protectorate,Bechuanaland (Botswana),Botswana (Bechuanaland)
beira,Beira,Beira
bel,Belgique,Belgium
belgian congo,Congo belge,Zaire (Kinshasa) (Belgian Congo)
belgian kongo,Congo belge,Zaire (Kinshasa) (Belgian Congo)
belgiancongo*,Congo belge,Zaire (Kinshasa) (Belgian Congo)
belgiancongo†,Congo belge,Zaire (Kinshasa) (Belgian Congo)
belgica,Belgique,Belgium
belgique,Belgique,Belgium
belgique (+luxembourg),Belgique et Luxembourg,Belgium & Luxemburg
belgique (anvers),Belgique (Anvers),Antwerp
belgique (anvers)**,Belgique (Anvers),Antwerp
belgique et hollande,Belgique et Pays-Bas,Belgium & Netherlands
belgique et pays bas,Belgique et Pays-Bas,Belgium & Netherlands
belgique et pays-bas,Belgique et Pays-Bas,Belgium & Netherlands
belgique**,Belgique,Belgium
"belgique, hollande",Belgique et Pays-Bas,Belgium & Netherlands
belgique/luxembourg,Belgique et Luxembourg,Belgium & Luxemburg
belgiques et colonies,Belgique et colonies belges,Belgium & Zaire (Kinshasa) (Belgian Congo)
belgisch kongo,Congo belge,Zaire (Kinshasa) (Belgian Congo)
belgium,Belgique,Belgium
belgium (including belgian congo),Belgique et Congo belge,Belgium & Zaire (Kinshasa) (Belgian Congo)
belgium and luxembourg,Belgique et Luxembourg,Belgium & Luxemburg
belgo-luxembourg union,Belgique et Luxembourg,Belgium & Luxemburg
beljica,Belgique,Belgium
benadir coast,Benadir,Benadir
bengal (britsh india),Bengale,Bengal
bengal and pegu (britsh india),Bengale et Birmanie (Pegu),Bago (Pegu) & Bengal
bengale,Bengale,Bengal
bengale (côte de coromandel et malabar),Bengale (côte de Coromandel et de Malabar),Coromandel Coast Posts & Malabar Coast
"bengale, ceylan",Bengale et Ceylan,Bengal & Sri Lanka (Ceylon)
bengasi,Benghazi,Benghazi
benin,Bénin,Benin (Dahomey)
benin (dahomey),Bénin,Benin (Dahomey)
berbera and bulhar,Berbera et Bulhar,Berbera & Bulhar
berbice (british guiana),Berbice,Berbice
berbice et demerary,Berbice et Demerary,Berbice & Demerara
bermuda,Bermudes,Bermuda
bermudas,Bermudes,Bermuda
"bermudas, british west india islands",Bermudes,Bermuda
bermudes,Bermudes,Bermuda
bilbao,Espagne (Bilbao),Bilbao
bird's island,Bird's Island,Seychelles
birman empire,Birmanie,Burma (Myanmar)
birmania,Birmanie,Burma (Myanmar)
birmanie,Birmanie,Burma (Myanmar)
birmanie anglaise,Birmanie britannique,Burma (Myanmar)
bismarck (archipel),Archipel Bismarck,Bismarck Archipelago
bismarck archipelago,Archipel Bismarck,Bismarck Archipelago
bolivia,Bolivie,Bolivia
bolivie,Bolivie,Bolivia
bombay,Bombay,Mumbai (Bombay)
bombay (british india),Bombay,Mumbai (Bombay)
bombay and scinde (british india),Bombay et Sind,Mumbai (Bombay) & Sind
bombay and sinde (british india),Bombay et Sind,Mumbai (Bombay) & Sind
bombay including kurachi (british india),Bombay et Karachi,Karachi & Mumbai (Bombay)
bordeaux,Bordeaux,Bordeaux
borneo,Bornéo,Borneo
bornéo,Bornéo,Borneo
borneo - british,Bornéo britannique,Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
borneo - british*,Bornéo britannique,Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
borneo - british†,Bornéo britannique,Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
borneo (+ sarawak),Bornéo britannique (Sarawak),Sarawak
borneo (british) : british north borneo,Bornéo britannique (Nord Bornéo),Sabah (North Borneo)
borneo (british) : brunei,Bornéo britannique (Brunei),Brunei
borneo (british) : sarawak,Bornéo britannique (Sarawak),Sarawak
borneo (holland),Bornéo hollandaise,Banjermassin (Dutch Borneo)
borneo (inclusive of sarawak),Bornéo,Borneo
bornéo (sans bornéo brit.),Bornéo (sauf britannique),Banjermassin (Dutch Borneo)
"borneo, british",Bornéo britannique,Brunei & Labuan I. & Sabah (North Borneo) & Sarawak
"borneo, british (british north borneo)",Bornéo britannique (Nord Bornéo),Sabah (North Borneo)
"borneo, british (british north borneo, brunei, sarawak)",Bornéo britannique (Nord Bornéo et Brunei et Sarawak),Brunei & Sabah (North Borneo) & Sarawak
"borneo, british (brunei)",Bornéo britannique (Brunei),Brunei
"borneo, british (labuan)",Bornéo britannique (Labuan),Labuan I.
"borneo, british (sarawak)",Bornéo britannique (Sarawak),Sarawak
bosnia,Bosnie,Bosnia
bosnie,Bosnie,Bosnia
bosnie-herzégovine,Bosnie-Herzégovine,Bosnia-Herzegovina
boston,Boston,Boston
botswana (bechuanaland),Bechuanaland (Botswana),Botswana (Bechuanaland)
bourbon,Ile Bourbon,Reunion
bourbon (france),Ile Bourbon,Reunion
bourbon (réunion),Ile Bourbon,Reunion
bourbon (reunion) (france),Ile Bourbon,Reunion
brasil,Brésil,Brazil
brazil,Brésil,Brazil
"brazil, argentine republic, other south america",Brésil et Argentine et Amérique du Sud (Autre),Argentina & Brazil & Southern America
brazilian,Brésil,Brazil
brême,Brême,Bremen
brême (association commerciale allemande),Brême,Bremen
"brême (ports du weser, environs brême)",Brême,Bremen
brême (union douanière allemande),Brême,Bremen
brême et lubeck,Brême et Lubeck,Bremen & Lubeck
brême et prusse,Brême et Prusse,Bremen & Prussia
"brême, hambourg",Brême et Hambourg,Bremen & Hamburg
"brême, weser",Brême,Bremen
bremen,Brême,Bremen
brésil,Brésil,Brazil
brésil (bahia),Brésil (Bahia),Bahia
brésil (fernambouc),Brésil (Pernambouc),Pernambuco
brésil (maragnan ou maranhâo),Brésil (Maragnan),Maranhão
brésil (maragnan),Brésil (Maragnan),Maranhão
brésil (para),Brésil (Para),Pará
brésil (pernambouc),Brésil (Pernambouc),Pernambuco
brésil (rio de janeiro),Brésil (Rio de Janeiro),Rio de Janeiro
brésil (rio-janeiro),Brésil (Rio de Janeiro),Rio de Janeiro
"brésil (rio-janeiro, bahia et fernambouc))",Brésil (Rio de Janeiro et Bahia et Pernambouc),Brazil Ports
"brésil (rio-janeiro, bahia, para et maragnan)",Brésil (Rio de Janeiro et Bahia et Para et Maragnan),Brazil Ports
"brésil (rio-janeiro, fernambouc et bahia)",Brésil (Rio de Janeiro et Bahia et Pernambouc),Brazil Ports
brésil (tous les ports réunis),Brésil (ports),Brazil Ports
brésil et colombie,Brésil et Colombie,Brazil & Colombia (Gran Colombia)
brésil et rio de la plata,Brésil et La Plata,Brazil & Viceroyalty of La Plata
brésil et rio de la plate,Brésil et La Plata,Brazil & Viceroyalty of La Plata
brésil et valparaiso,Brésil et Valparaiso,Brazil & Chile
brésil**,Brésil,Brazil
british africa,Afrique britannique,British Africa
british africa (total),Afrique britannique,British Africa
british america,Amérique britannique,British America
british american colonies,Amérique britannique,British America
british american possessions on the pacific,Amérique britannique (Pacifique),British America (Pacific)
british asian colonies,Asie britannique,British Asia
british australasia,Australasie britannique,Australia & New Zealand
british australasia (british oceania),Australasie britannique,Australia & New Zealand
british australia,Australasie britannique,Australia & New Zealand
british central africa protectorate,Malawi,Malawi (Nyasaland)
british china,Chine britannique,British China
british colombia (canada),Canada (Colombie britannique),British Columbia
british columbia,Canada (Colombie britannique),British Columbia
british columbia & vancouver's island (north america),Colombie britannique et Vancouver,British Columbia & Vancouver
british columbia (dominion of canada),Canada (Colombie britannique),British Columbia
british columbia (north america),Canada (Colombie britannique),British Columbia
british columbia and vancouver's island (british north america),Colombie britannique et Vancouver,British Columbia & Vancouver
british east africa,Afrique orientale britannique,British East Africa
british east africa and aden,Afrique orientale britannique et Aden,Aden & British East Africa
british east indies,Indes britanniques,India
british east indies (exclusive of singapore and ceylon),Indes britanniques orientales (sauf Singapour et Ceylan),British East Indies (other)
british east indies (total),Indes britanniques orientales,British East Indies
british east indies and siam,Indes britanniques et Siam,India & Thailand (Siam)
british empire,Empire britannique,British Colonies
british empire (except india),Empire britannique (sauf Inde),British Colonies (other)
british guiana,Guyane britannique,Guyana (Br. Guiana)
british guiana (total),Guyane britannique,Guyana (Br. Guiana)
british honduras,Honduras britannique,Belize (British Honduras)
british india,Indes britanniques,India
"british india (bengal, british burman, madras, bombay)",Indes britanniques,India
british india (british east indies),Indes britanniques,India
british india (total),Indes britanniques,India
"british india (total) (exclusive of transit through egypt, not ascertained)",Indes britanniques,India
british india : bengal,Bengale,Bengal
"british india : bengal, assam, bihar, and orissa",Indes britanniques (Assam et Bengale et Bihar et Orissa),Assam & Bengal & Bihar & Odisha
british india : bombay,Bombay,Mumbai (Bombay)
"british india : bombay, via karachi",Bombay (par Karachi),Karachi & Mumbai (Bombay)
"british india : bombay, via karachi and other ports",Bombay (par Karachi et autres ports),Karachi & Mumbai (Bombay) & other Ports
"british india : bombay, via other ports",Bombay (par Karachi et autres ports),Mumbai (Bombay) & other Ports
british india : burmah,Indes britanniques (Birmanie),Burma (Myanmar)
british india : madras,Madras,Chennai (Madras)
british india + burma,Indes britanniques et Birmanie,Burma (Myanmar) & India
british india and burma,Indes britanniques et Birmanie,Burma (Myanmar) & India
british india and ceylon,Indes britanniques et Ceylan,India & Sri Lanka (Ceylon)
"british india, via : bengal",Indes britanniques (par Bengale),Bengal
"british india, via : bombay (including karachi)",Indes britanniques (par Bombay et Karachi),Karachi & Mumbai (Bombay)
"british india, via : burmah",Indes britanniques (par Birmanie),Burma (Myanmar)
"british india, via : eastern bengal and assam",Indes britanniques (par Bengale et Assam),Assam & Bengal
"british india, via : madras",Indes britanniques (par Madras),Chennai (Madras)
british india: indian merchandise,Indes britanniques (marchandises d'Inde),India (Domestic produce)
british india: other,Indes britanniques (marchandises étrangères),India (Foreign produce)
british malaya,Malaisie,Malaysia (Malaya)
british new guinea,Nouvelle-Guinée britannique,Papua New Guinea
british north america,Amérique du Nord britannique,British North America
british north america (total),Amérique du Nord britannique,British North America
british north america : british columbia,Amérique du Nord britannique (Colombie britannique),British Columbia
british north america : canada,Amérique du Nord britannique (Canada),Ontario (Upper Canada) & Quebec (Lower Canada)
british north america : dmoninion of canada,Amérique du Nord britannique (Canada),Ontario (Upper Canada) & Quebec (Lower Canada)
british north america : dmoninion of canada : on the atlantic,"Amérique du Nord britannique (Canada, Côte Atlantique)",Canada (Atlantic Coast)
british north america : dmoninion of canada on the pacific,"Amérique du Nord britannique (Canada, Côte Pacifique)",Canada (Pacific Coast)
british north america : dominion of canada : on the atlantic and on the pacific,Amérique du Nord britannique (Canada),Ontario (Upper Canada) & Quebec (Lower Canada)
british north america : new brunswick,Nouveau-Brunswick,New Brunswick
british north america : newfondland and coast labrandor,Amérique du Nord britannique (Terre-Neuve et Labrador),Newfoundland
british north america : newfoundland and coast of labrandor,Amérique du Nord britannique (Terre-Neuve et Labrador),Newfoundland
british north america : nova scotia and cape breton),Amérique du Nord britannique (Nouvelle-Ecosse et Cap Breton),Cape Breton I. & Nova Scotia
british north america : prince edward's island,Ile du Prince Edouard,Prince Edward Is.
british north america : settlements of the hudson's bay company,Amérique du Nord britannique (Settlements of the Hudson's Bay Company),Rupert's Land
british north america : settlements of the hudson's bay company and british columbia,Amérique du Nord britannique (Settlements of the Hudson's Bay Company et Colombie britannique),British Columbia & Rupert's Land
