original_name,RICname
"argentine republic, paraguay and uruguay",Argentina (La Plata) & Paraguay & Uruguay
"argentine republic, uruguay and paraguay",Argentina (La Plata) & Paraguay & Uruguay
argentine states,Argentina (La Plata)
"argentine, uruguay",Argentina (La Plata) & Uruguay
argentinie,Argentina (La Plata)
argentinië,Argentina (La Plata)
argentinien,Argentina (La Plata)
argentyna,Argentina (La Plata)
argjentine,Argentina (La Plata)
argyle,Argyll
arica,Arica
arica and tacna (chile),Arica & Tacna
arjantin,Argentina (La Plata)
armenia,Armenia
armenia and kurdistan,Armenia & Kurdistan
arménie turque (erzeoum),Erzurum
arracan,Arakan
arrojo do mar,***NA
articles through post,***NA
aruba,Aruba
aruba et bonaire,Aruba & Bonaire
ascension,Ascension I.
ascension island,Ascension I.
ashmore island,Ashmore and Cartier Is
asia,Asia
asia - possessoes britannicas,British Asia
asia - possessoes francezas,French Asia
asia - possessoes portuguezas,Portuguese Asia
asia andre brit. besiddelser,British Asia (other)
asia generally,Asia (other)
asia minor,Western Anatolia
asia-diversas possessoes britannicas,British Asia
asia-minor,Western Anatolia
ásiai törökorsz,Asian Turkey
asian russia,Asian Russia
asian turkey,Asian Turkey
asiastiska utom medelhafvet belägna länder,Asia (other)
asiatic russia,Asian Russia
asiatic turkey,Asian Turkey
asiatisk rusland,Asian Russia
asiatiska sovjet-unionen,Asian Russia
asiatiska turkiet,Asian Turkey
asie,Asia
asie mineure,Western Anatolia
asie orientale,Eastern Asia
asien,Asia
asien uden nærmere angivelse,Asia (other)
association allemande,Germany (Zollverein)
association commerciale allemande,Germany (Zollverein)
atlantic ocean,Atlantic Ocean
au total,World
"auckland, fiji",Auckland Is. & Fiji
auh,Austria-Hungary (Austrian Empire)
aukland,Auckland Is.
auktion i frihavnen,Free ports
"auktion i frihavnen,strandingsgods,smuglergods",***NA
auriche-hongrie,Austria-Hungary (Austrian Empire)
aurtiche,Austria-Hungary (Austrian Empire)
austr. förbundsstaten,Australia
austral-sambandet,Australia
australasia,Australia
australasia (other),Australasia (other)
australasia : fiji islands,Fiji
australasia : new south wales,New South Wales
australasia : new zealand,New Zealand
australasia : queensland,Queensland
australasia : south australia (including northern territory),Australian Northern Territory & South Australia
australasia : tasmania,Tasmania
australasia : total,Australia
australasia : victoira,Victoria
australasia : west australia,Western Australia
australasia o nueva zelanda,Australia & New Zealand
australasia: new south wales,New South Wales
australasia: new zealand,New Zealand
australasia: south australia,South Australia
australasia: tasmania,Tasmania
australasia: victoria,Victoria
australasia: western australia,Western Australia
australasie,Australia
australasie anglaise,Australia
australasie-australie ouest,Western Australia
australasie-autralie sud,South Australia
australasie-nle galles sud,New South Wales
australasie-nle-zélande,New Zealand
australasie-queensland,Queensland
australasie-tasmanie,Tasmania
australasie-victoria,Victoria
australia,Australia
austrália,Australia
australia : fiji islands,Fiji
australia : new south wales,New South Wales
australia : new zealand,New Zealand
australia : queensland,Queensland
australia : south australia,South Australia
australia : south australia (including northern territory),Australian Northern Territory & South Australia
australia : tasmania,Tasmania
australia : total,Australia
australia : victoira,Victoria
australia : victoria,Victoria
australia : west australia,Western Australia
australia : western australia,Western Australia
australia (new south wales),New South Wales
australia (queensland),Queensland
australia (south australia including northern territory),Australian Northern Territory & South Australia
australia (south australia),South Australia
australia (tasmania),Tasmania
australia (total),Australia
australia (victoria),Victoria
australia (western australia),Western Australia
australia and new zealand,Australia & New Zealand
australia & new zealand,Australia & New Zealand
australia and new zealand (british empire),Australia & New Zealand
australia and new zeland,Australia & New Zealand
australia and tasmania,Australia & Tasmania
australia and tasmania (british oceania),Australia & Tasmania
australia and tasmania and new zealand,Australia & New Zealand & Tasmania
australia ellers,Australia (other)
australia for øvrig,Australia (other)
australia inglesa,Australia
australia o nueva holanda,Australia & Western Australia
australia other than new south wales,Australia (other)
australia-oceania,Australia & Oceania
"australia, &c",Australia
"australia, new zealand",Australia & New Zealand
"australia, new zealand and new caledonia",Australia & New Caledonia & New Zealand
"australia, new zealand, &c",Australia & New Zealand
"australia, new zealand, and tasmania",Australia & New Zealand & Tasmania
australian commonwealth,Australia
australiasia,Australia
australie,Australia
australië,Australia
australië (gemeenebest),Australia
australie (hormis la nouvelle-zélande),Australia
australie (marchandises étrangères),Australia
australie (marchandises françaises),Australia (French produce)
australie (victoria),Victoria
australie a oceanie,Australia & Oceania
australie anglaise,Australia
australie du sud,South Australia
australië en polynesië,Australia & Polynesia
australie et iles sandwich,Australia & Hawaii (Sandwich Is.)
australie et nouvelle zélande,Australia & New Zealand
australie et nouvelle-zélande,Australia & New Zealand
australie et nouvelle-zélande et iles australiennes du pacifique,Australia & New Zealand
australie et pacifique,Australia & Pacific Islands
australie et polynésie,Australia & Polynesia
australie et tasmanie,Australia & Tasmania
australie méridionale,South Australia
australie occidentale,Western Australia
australie ouest,Western Australia
australie sud,South Australia
"australie, iles sandwich",Australia & Hawaii (Sandwich Is.)
"australie, nle-hollande",Australia & Western Australia
"australie, nouvelle-zélande, îles de l'océan pacifique",Australia & New Zealand & Pacific Islands
australien,Australia
australien forøvrig,Australia (other)
australien och van diemens land,Australia
australien uden nærmere angivelse,Australia (other)
australien un ozeanien,Australia & Oceania
australien und den sandwich-inseln,Australia & Hawaii (Sandwich Is.)
australien und der südsee,Australia & Pacific Islands
australija,Australia
australischer bund,Australia
australischer bund & neu-seeland & übrig. brit. australien,Australia & New Zealand
australja,Australia
australlandet,Australia
australlandet med tasmanien,Australia & Tasmania
australske forbund,Australia
australske m. tasmanien,Australia & Tasmania
australský svaz,Australia
austria,Austria
aústria,Austria
áustria,Austria
austria - hungary,Austria-Hungary (Austrian Empire)
austria - lombardo veneto,Lombardy-Venetia
austria - veneto,Austria-Hungary (Austrian Empire) & Lombardy-Venetia
austria and hungary,Austria-Hungary (Austrian Empire)
austria hungary,Austria-Hungary (Austrian Empire)
austria-hungaria,Austria-Hungary (Austrian Empire)
austria-hungary,Austria-Hungary (Austrian Empire)
austria-hungria,Austria-Hungary (Austrian Empire)
austria-hungría,Austria-Hungary (Austrian Empire)
austria-ungheria,Austria-Hungary (Austrian Empire)
austria-veneto,Austria-Hungary (Austrian Empire) & Lombardy-Venetia
austrián és bosznián kiv. országok,***NA
austrian possessions in italy,Italian Austria
austrian territories,Austria-Hungary (Austrian Empire)
"austrian territories (illyria, croatia and dalmatia)",Croatia & Dalmatia & Illyria
austriche,Austria
austrie,Austria
austrija,Austria
austrja,Austria
austro-hungary,Austria-Hungary (Austrian Empire)
austro-ungaria,Austria-Hungary (Austrian Empire)
austurríki,Austria
ausztrália,Australia
ausztria,Austria
ausztria és bosznián kivüli országok,***NA
ausztrian és bossznian kiv orszagok,***NA
ausztrián és bosznián kivtili országok,***NA
ausztrián és bosznián kivüli külföld,***NA
autr. poss. fr. en afr,French Africa (other)
autr. poss. fr. en afrique,French Africa (other)
autr. poss. fr. en asie,French Asia (other)
autr. poss. ital. en afr,Italian Africa (other)
autr. poss. ital. en afrique,Italian Africa (other)
autr. poss. jr. en afr,French Africa (other)
autr. poss. jr. en asie,French Asia (other)
autre afrique,Africa (other)
autre afrique britannique,British Africa (other)
autre amér. sud,Southern America (other)
autre amérique,America (other)
autre amérique britannique,British America (other)
autre amérique méridionale,Southern America (other)
autre amérique sud,Southern America (other)
autre asie,Asia (other)
autre europe,Europe (other)
autre foreign west indies,West Indies (other)
autre malaisie (britan),Malaysia (British Malaya) (other)
autre malaisie (étrangère),Malaysia (British Malaya) (other)
autre océanie,Oceania
autre zollverein,Germany (Zollverein) (other)
autres,World (other)
autres antilles,West Indies (other)
autres colonies,French Colonies (other)
autres colonies américaines,American Colonies (other)
autres colonies anglaise,British Colonies (other)
autres colonies anglaises,British Colonies (other)
autres colonies britanniques,British Colonies (other)
autres colonies espagnoles,Spanish Colonies (other)
autres colonies françaises,French Colonies (other)
autres colonies françaises (marchandises étrangères),French Colonies (other) (Foreign produce)
autres colonies françaises (marchandises françaises),French colonies (other) (French produce)
"autres colonies portugaises (cap vert, sao thome, inde portugaise, macao, timor)",Cape Verde & East Timor (Portuguese Timor) & Macao & Portuguese India & Sao Tome-Principe
autres contrées,World (other)
autres contrées (principalement suède),Sweden
autres contrées d'afrique,Africa (other)
autres contrées d'amérique méridionale,Southern America (other)
autres contrées de turquie,Turkey (Ottoman Empire) (other)
autres dominions et protectorats britan.,British Colonies (other)
autres établissements de la côte occidentale d'afrique,Western Africa (other)
autres établissements français en océanie,French Oceania (other)
autres etats,World (other)
autres etats barbaresques,Barbary Coast (other)
autres etats d'italie,Italy (other)
autres états germaniques,Germany (Zollverein) (other)
autres îles d'océanie,Oceania (other)
autres iles de l'océanie,Oceania
autres îles de l'océanie,Oceania
autres indes orientales britanniques,British East Indies (other)
autres parties du monde,World (other)
autres pays,World (other)
autres pays (afrique),Africa (other)
autres pays (marchandises étrangères),World (other) (Foreign produce)
autres pays (marchandises françaises),World (other) (French produce)
autres pays (principalement d'europe),Europe (other)
autres pays afrique,Africa (other)
autres pays d'afrique,Africa (other)
"autres pays d'afrique, equatoriaux occidentaux",Equatorial Western Africa (other)
"autres pays d'afrique, equatoriaux orientaux",Equatorial Eastern Africa (other)
"autres pays d'afrique, méridionaux",Southern Africa (other)
"autres pays d'afrique, septentrionaux (tanger)",Tangier
autres pays d'amérique,America (other)
autres pays d'asie,Asia (other)
"autres pays d'asie, autres",Asia (other)
"autres pays d'asie, d'afr. et d'amérique",World (other)
"autres pays d'asie, d'océanie, d'afrique et d'amérique",World (other)
"autres pays d'asie, occidentaux",Western Asia
autres pays d'europe,Europe (other)
autres pays d'europe et d'amérique,America (other) & Europe (other)
autres pays d'extrême-orient,Asia (other)
autres pays d'océanie,Oceania (other)
"autres pays de l'amérique centrale, continentaux",Central America (Continental) (other)
"autres pays de l'amérique centrale, insulaires",Central America (Insular) (other)
autres pays de l'amérique du nord,Northern America (other)
autres pays de l'amérique du sud,Southern America (other)
autres pays de l'extrême-orient,Eastern Asia (other)
autres pays de l'océanie,Oceania (other)
autres pays divers d'asie,Asia (other)
autres pays étrangers,World (other)
autres pays europe et levant,Europe & Levant
autres pays non-spécifiés,World (other)
autres ports anglais,United Kingdom (other)
autres ports antilles,West Indies (other)
autres pos. fr. d'afrique,French Africa (other)
autres poss. angl. extrême-orient,British Eastern Asia (other)
autres poss. brit. en asie,British Asia (other)
autres poss. fr. en asie,French Asia (other)
autres possession sbritan.,British Colonies (other)
autres possessions anglaises,British Colonies (other)
autres possessions anglaises (surtout maurice et inde),India & Mauritius
autres possessions britan.,British Colonies (other)
autres possessions britanniques,British Colonies (other)
autres possessions espagnoles,Spanish Colonies (other)
autres possessions françaises,French Colonies (other)
autres possessions françaises en afrique,French Africa (other)
autres possessions françaises en asie,French Africa (other)
autres possessions pays bas,Dutch Colonies (other)
autres possessions portugaises,Portuguese Colonies (other)
